"id","name","created_at","updated_at"
200,La Azulita,2018-10-25 01:02:04.997,2018-10-25 01:02:04.997
201,Finca Paysandu,2018-10-25 01:04:06.956,2018-10-25 01:04:06.956
202,La Ondulada,2018-10-25 01:53:58.920,2018-10-25 01:53:58.920
203,El Majahual,2018-10-25 02:47:30.182,2018-10-25 02:47:30.182
204,Notissa,2018-10-25 03:00:36.347,2018-10-25 03:00:36.347
205,Finca La Pira,2018-10-26 12:26:00.242,2018-10-26 12:26:00.242
206,San Cayetano,2018-10-26 12:34:16.468,2018-10-26 12:34:16.468
207,La Florida,2018-10-30 22:46:14.662,2018-10-30 22:46:14.662
208,Finca Huixoc,2018-10-31 00:12:50.345,2018-10-31 00:12:50.345
209,Finca Vista Hermosa,2018-10-31 12:47:01.607,2018-10-31 12:47:01.607
210,Santa Teresa 2000,2018-10-31 14:19:37.026,2018-10-31 14:19:37.026
211,La Cumbre,2018-10-31 14:26:05.631,2018-10-31 14:26:05.631
212,La Montaña,2018-10-31 15:06:41.187,2018-10-31 15:06:41.187
213,Rola,2018-10-31 15:41:49.584,2018-10-31 15:41:49.584
214,Finca Chispita,2018-11-02 13:27:56.742,2018-11-02 13:27:56.742
215,Carrizal,2018-11-03 18:47:17.294,2018-11-03 18:47:17.294
216,El Jigual,2018-11-03 22:25:44.613,2018-11-03 22:25:44.613
217,La Candelilla Estate,2018-11-03 22:51:34.270,2018-11-03 22:51:34.270
218,Guadalupe,2018-11-05 02:19:24.430,2018-11-05 02:19:24.430
219,El Molino,2018-11-05 02:23:02.415,2018-11-05 02:23:02.415
220,Platanares,2018-11-05 02:43:42.504,2018-11-05 02:43:42.504
221,Los Angeles y Anexos,2018-11-06 04:16:22.636,2018-11-06 04:16:22.636
222,Los Lirios,2018-11-06 21:57:31.842,2018-11-06 21:57:31.842
223,Finca Natamaya,2018-11-06 22:18:49.298,2018-11-06 22:18:49.298
224,Monte Copey,2018-11-07 19:06:29.123,2018-11-07 19:06:29.123
225,Burka Gudina Estate,2018-11-07 19:13:58.243,2018-11-07 19:13:58.243
226,Nyeri Hill Farm,2018-11-07 19:55:21.521,2018-11-07 19:55:21.521
227,Sin Limites,2018-11-07 20:57:32.426,2018-11-07 20:57:32.426
228,Finca Miramundo,2018-11-07 21:17:07.759,2018-11-07 21:17:07.759
229,El Olvido,2018-11-13 01:58:02.479,2018-11-13 01:58:02.479
230,Finca El Guachipilin,2018-11-13 02:04:43.447,2018-11-13 02:04:43.447
231,Finca Santa Maria De Lourdes,2018-11-13 02:13:35.507,2018-11-13 02:13:35.507
232,Gishamwana Island,2018-11-13 02:30:08.727,2018-11-13 02:30:08.727
233,Finca Las Ranas,2018-11-14 16:48:10.552,2018-11-14 16:48:10.552
234,Finca El Puente,2018-11-14 16:57:28.845,2018-11-14 16:57:28.845
235,Dido Birre,2018-11-14 17:10:09.711,2018-11-14 17:10:09.711
236,Finca Kilimanjaro,2018-11-14 17:16:57.817,2018-11-14 17:16:57.817
237,La Golondrina,2018-11-14 18:10:57.175,2018-11-14 18:10:57.175
238,Ngarutua,2018-11-15 01:43:36.698,2018-11-15 01:43:36.698
239,El Guamo,2018-11-16 17:29:20.944,2018-11-16 17:29:20.944
240,Finca Toño,2018-11-18 21:55:55.888,2018-11-18 21:55:55.888
241,Entre Robles,2018-11-19 00:55:10.446,2018-11-19 00:55:10.446
252,Finca La Esmeralda,2018-11-28 19:57:15.892,2018-11-28 19:57:15.892
270,La Argentina,2018-12-09 00:52:01.886,2018-12-09 00:52:01.886
277,Finca La Quebrada Honda,2018-12-17 16:38:31.266,2018-12-17 16:38:31.266
747,Sigri Estate,2019-11-08 19:05:27.614,2019-11-08 19:05:27.614
769,Finca La Giuglia,2019-11-17 03:12:32.414,2019-11-17 03:12:32.414
772,Agua Colorada,2019-11-17 03:38:13.864,2019-11-17 03:38:13.864
794,Jaguara,2019-12-04 17:34:38.216,2019-12-04 17:34:38.216
797,Finca El Plan,2019-12-05 03:13:19.167,2019-12-05 03:13:19.167
812,Frinsa Estate,2019-12-11 22:02:13.618,2019-12-11 22:02:13.618
825,La Vega,2019-12-18 20:06:38.692,2019-12-18 20:06:38.692
862,Finca Agua Tibia,2020-01-14 18:02:19.928,2020-01-14 18:02:19.928
863,Kawo Kamina,2020-01-14 18:13:26.845,2020-01-14 18:13:26.845
869,Finca JR,2020-01-16 22:02:19.164,2020-01-16 22:02:19.164
871,Fuyan,2020-01-16 22:06:17.425,2020-01-16 22:06:17.425
872,Angamaza,2020-01-16 23:31:49.502,2020-01-16 23:31:49.502
875,El Salado,2020-01-17 21:06:32.213,2020-01-17 21:06:32.213
894,Finca Los Colibrí,2020-04-14 14:41:00.156,2020-04-14 14:41:00.156
909,Sítio Monte Sinai,2020-04-29 00:20:16.347,2020-04-29 00:20:16.347
910,El Carmen,2020-04-29 00:32:09.333,2020-04-29 00:32:09.333
927,Divisadero,2020-05-11 23:54:47.102,2020-05-11 23:54:47.102
942,Finca Los Congos,2020-05-25 20:04:51.165,2020-05-25 20:04:51.165
956,Fazenda Morada dos Pássaros,2020-06-23 19:29:43.082,2020-06-23 19:29:43.082
967,Los Derrumbos,2020-12-07 00:02:19.581,2020-12-07 00:02:19.581
242,Pedra Branca,2018-11-19 13:37:25.083,2018-11-19 13:37:25.083
250,Los Chorros ,2018-11-23 13:44:38.980,2018-11-23 13:44:38.980
274,Finca Las Promesas de San Blas,2018-12-10 06:25:29.935,2018-12-10 06:25:29.935
748,Finca Idealista,2019-11-08 19:53:05.054,2019-11-08 19:53:05.054
750,Villa Hermosa,2019-11-08 20:52:35.981,2019-11-08 20:52:35.981
771,Cumbres Del Poas,2019-11-17 03:34:43.690,2019-11-17 03:34:43.690
795,Finca Don Benjie,2019-12-04 18:30:47.425,2019-12-04 18:30:47.425
796,El Anono,2019-12-05 03:03:21.499,2019-12-05 03:03:21.499
814,Finca el Prado,2019-12-12 01:52:39.057,2019-12-12 01:52:39.057
817,La Nueva Montana,2019-12-13 17:26:05.125,2019-12-13 17:26:05.125
828,Los Melocotones,2019-12-19 15:37:51.751,2019-12-19 15:37:51.751
