"id","name","created_at","updated_at"
193,Yirgacheffe,2019-04-02 20:18:40.793,2019-04-02 20:18:40.793
194,Ndunduri Wet Mill,2019-04-03 12:57:10.137,2019-04-03 12:57:10.137
195,Heza Washing Station ,2019-04-03 13:05:58.064,2019-04-03 13:05:58.064
196,Shembati Washing Station,2019-04-03 13:33:49.281,2019-04-03 13:33:49.281
197,Rafiki Washing Station ,2019-04-10 17:34:30.623,2019-04-10 17:34:30.623
198,Los Portillos Farm Wet Mill,2019-04-11 02:09:26.361,2019-04-11 02:09:26.361
199,Abades Cooperative,2019-04-11 17:48:54.661,2019-04-11 17:48:54.661
200,Huye Mountain Washing Station,2019-04-11 18:56:52.417,2019-04-11 18:56:52.417
429,Don Oscar Mill,2019-11-27 14:17:16.774,2019-11-27 14:17:16.774
202,Sehe Washing Station,2019-04-11 22:44:47.033,2019-04-11 22:44:47.033
203,San Diego Mill,2019-04-12 01:03:47.736,2019-04-12 01:03:47.736
204, Bwayi Washing Station,2019-04-12 01:24:18.835,2019-04-12 01:24:18.835
205,Gitaba,2019-04-12 03:07:04.782,2019-04-12 03:07:04.782
206,Amaro Farm Wet & Dry Mills,2019-04-12 03:48:54.052,2019-04-12 03:48:54.052
207,Cumbres del Poas,2019-04-12 04:00:58.472,2019-04-12 04:00:58.472
208,Mutheru Wet Mill ,2019-04-13 00:32:10.275,2019-04-13 00:32:10.275
209,Sasaba,2019-04-13 00:43:02.453,2019-04-13 00:43:02.453
210,Gakuyu-ini Factory,2019-04-13 00:55:03.039,2019-04-13 00:55:03.039
211,Thunguri Factory,2019-04-13 01:06:40.645,2019-04-13 01:06:40.645
212,Dalecho,2019-04-13 01:29:59.133,2019-04-13 01:29:59.133
213,Yandaro,2019-04-13 01:44:59.018,2019-04-13 01:44:59.018
214,Origin Coffee Lab,2019-04-17 02:20:48.655,2019-04-17 02:20:48.655
215,Karehe SOGESTAL,2019-04-20 20:22:56.526,2019-04-20 20:22:56.526
216,Karambi,2019-04-20 20:30:37.479,2019-04-20 20:30:37.479
217,Abu Coffee,2019-04-21 02:49:17.283,2019-04-21 02:49:17.283
218,Agahore,2019-04-21 02:59:53.082,2019-04-21 02:59:53.082
219,Gakoma,2019-04-21 20:18:03.157,2019-04-21 20:18:03.157
220,Karisimbi,2019-04-21 20:40:18.190,2019-04-21 20:40:18.190
221,Las Lajas micromill ,2019-04-22 00:13:49.314,2019-04-22 00:13:49.314
440,Ndaroini Factory,2019-12-11 21:22:09.677,2019-12-11 21:22:09.677
223,Gatare,2019-04-28 23:03:11.418,2019-04-28 23:03:11.418
224,Jebo Nenko,2019-04-30 21:34:05.084,2019-04-30 21:34:05.084
225,Bukeye ,2019-05-03 14:48:41.232,2019-05-03 14:48:41.232
226,Dembel,2019-05-06 19:03:09.482,2019-05-06 19:03:09.482
227,BNT Industry Coffee Mill Station,2019-05-13 17:03:30.292,2019-05-13 17:03:30.292
228,Larcho Torka Forest,2019-05-17 17:42:51.063,2019-05-17 17:42:51.063
229,Kuta Mill,2019-05-22 20:39:59.467,2019-05-22 20:39:59.467
230,Karinga,2019-05-22 21:38:42.458,2019-05-22 21:38:42.458
231,Buena Vista - AGRICAFE,2019-05-28 13:28:27.750,2019-05-28 13:28:27.750
232,Gituara Coffee Factory,2019-05-28 15:33:54.773,2019-05-28 15:33:54.773
233,Hana Asrat washing station,2019-05-28 20:58:56.982,2019-05-28 20:58:56.982
